#Sample ShipFile
#
#SNAME	string
#SMODEL	string
#HB	(hb-tag,coord_x1,coord_y1,radius1)(coord_x2,coord_y2,radius2) //hitboxes
#PYLONS	(hb-tag,type-tag,basehealth,offset_x1,offset_y1,centerAng,arcAng,screenx,screeny,size,gui) //types: 's'=shield;'p'=support;'w'=weapon;'e'=engine;'c'=powercore; so if a pylon can equip shield+weapon then type-tag is sw
#SPEED	double
#END

#test ship
HB	(center,44,0,81)
HB	(aft,-128,0,103)
PYLONS	(starboardbow,ws,50,185,-36,0,90,0,0,3,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(starboardbow,ws,50,112,-32,-45,90,0,0,3,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(portbow,ws,50,185,36,0,90,0,0,3,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(portbow,ws,50,112,32,45,90,0,0,3,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(center,sp,50,56,38,0,180,0,0,5,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(center,sp,50,56,-38,0,180,0,0,5,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(aft,sw,50,-156,53,180,90,0,0,3,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(aft,sw,50,-156,-53,180,90,0,0,3,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(aft,e,50,-96,0,180,90,0,0,4,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(aft,c,50,-46,0,180,90,0,0,4,Resources/Sprites/Escort1-Pylon1.png)
DESCRIP	Cerberus Battleship
END

#FIX:wing guns dont fire from wing atm 
SNAME	Valiant
SMODEL	Resources/Sprites/Valiant.png
SPEED	55
SIZE	128
HB	(bow,145,0,80)
HB	(center,0,0,80)
HB	(portwing,-114,100,71)
HB	(starboardwing,-114,-100,71)
HB	(aft,-170,0,50)
PYLONS	(bow,w,50,145,20,0,30,0,0,4,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(bow,w,50,145,-20,0,30,0,0,4,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(center,s,50,0,20,0,180,0,0,4,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(center,c,50,0,-20,0,180,0,0,5,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(portwing,w,50,121,56,0,30,0,0,3,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(portwing,w,50,136,87,0,30,0,0,3,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(portwing,w,50,150,118,0,30,0,0,3,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(starboardwing,w,50,121,-56,0,30,0,0,3,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(starboardwing,w,50,136,-87,0,30,0,0,3,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(starboardwing,w,50,150,-118,0,30,0,0,3,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(aft,ws,50,-188,0,180,90,0,0,3,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(aft,e,50,-210,0,180,90,0,0,5,Resources/Sprites/Escort1-Pylon1.png)
DESCRIP	Valiant-class Battleship
END

SNAME	Blood Hawk
SMODEL	Resources/Sprites/BloodHawk.png
SPEED	75
SIZE	32
HB	(starboardaft,-8,-5,12)
HB	(portaft,-8,5,12)
HB	(bow,16,9,12)
PYLONS	(starboardaft,w,50,-16,-17,0,30,0,0,3,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(starboardaft,e,50,-16,-2,180,90,0,0,2,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(portaft,w,50,16,17,0,30,0,0,3,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(portaft,c,50,16,2,0,90,0,0,2,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(bow,w,50,20,-9,0,90,0,0,1,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(bow,w,50,20,9,0,90,0,0,1,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(bow,s,50,6,0,0,180,0,0,2,Resources/Sprites/Escort1-Pylon1.png)
DESCRIP	Blood Hawk Frigate
END

SNAME	Reaver
SMODEL	Resources/Sprites/Axe.png
SPEED	50
SIZE	64
HB	(aft,-34,0,50)
HB	(starboardbow,43,-36,22)
HB	(portbow,43,36,22)
PYLONS	(aft,e,50,-70,0,180,90,0,0,3,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(aft,ws,50,-55,-0,180,90,0,0,2,Resources/Sprites/)
PYLONS	(aft,w,50,-10,0,0,180,0,0,4,Resources/Sprites/)
PYLONS	(starboardbow,w,50,43,-60,0,30,0,0,3,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(starboardbow,ws,50,43,-10,0,90,0,0,3,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(portbow,w,50,43,60,0,30,0,0,3,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(portbow,c,50,43,40,0,180,0,0,3,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(portbow,ws,50,43,10,0,90,0,0,2,Resources/Sprites/Escort1-Pylon1.png)
DESCRIP	Reaver Cruiser
END

SNAME	Clipper
SMODEL	Resources/Sprites/Umbrella.png
SPEED	75
SIZE	32
HB	(bow,20,0,20)
HB	(center,0,0,11)
HB	(aft,-20,0,10)
PYLONS	(bow,w,50,17,2,0,90,0,0,2,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(bow,w,50,17,-2,0,90,0,0,2,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(center,w,50,0,0,0,180,0,0,2,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(center,s,50,0,-9,0,180,0,0,2,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(aft,c,50,-14,0,0,180,0,0,2,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(aft,e,50,-27,0,180,90,0,0,2,Resources/Sprites/Escort1-Pylon1.png)
DESCRIP	Clipper Frigate
END

SNAME	Prometheus
SMODEL	Resources/Sprites/Prometheus.png
SPEED	45
SIZE	128
HB	(bow,160,0,65)
HB	(centerport,0,15,64)
HB	(centerstarboard,0,-15,64)
HB	(portaft,-146,22,72)
HB	(starboardaft,-146,-22,72)
HB	(aft,-200,-19,50)
PYLONS	(bow,w,50,167,29,0,30,0,0,4,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(centerport,ws,50,0,15,90,90,0,0,4,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(centerstarboard,ws,50,0,-15,270,90,0,0,4,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(portaft,w,50,-122,59,90,90,0,0,3,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(portaft,s,50,-132,43,0,180,0,0,4,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(starboardaft,w,50,-122,-59,270,90,0,0,3,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(starboardaft,c,50,-132,-43,0,180,0,0,4,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(aft,e,50,-200,-19,180,90,0,0,4,Resources/Sprites/Escort1-Pylon1.png)
DESCRIP	Prometheus Battleship
END

SNAME	Polaris
SMODEL	Resources/Sprites/Polaris.png
SPEED	60
SIZE	32
HB	(starboard,0,-28,38)
HB	(port,0,28,38)
PYLONS	(starboard,w,50,10,-10,0,90,0,0,3,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(starboard,ws,50,-17,-10,270,90,0,0,2,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(starboard,p,50,25,-26,0,90,0,0,2,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(starboard,e,50,-30,-14,180,90,0,0,2,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(port,w,50,10,10,0,90,0,0,3,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(port,ws,50,-17,10,90,90,0,0,2,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(port,p,50,25,26,0,90,0,0,2,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(port,c,50,30,14,180,90,0,0,2,Resources/Sprites/Escort1-Pylon1.png)
DESCRIP	Polaris Carrier Frigate
END

SNAME	Razor
SMODEL	Resources/Sprites/Razor.png
SPEED	90
SIZE	16
HB	(fighter,0,0,27)
PYLON	(fighter,w,50,20,-3,0,90,0,0,1,Resources/Sprites/Escort1-Pylon1.png)
PYLON	(fighter,w,50,20,3,0,90,0,0,1,Resources/Sprites/Escort1-Pylon1.png)
PYLON	(fighter,c,50,0,0,0,180,0,0,1,Resources/Sprites/Escort1-Pylon1.png)
PYLON	(fighter,e,50,-22,0,180,90,0,0,1,Resources/Sprites/Escort1-Pylon1.png)
DESCRIP	Razor Bomber
END

SNAME	Hornet
SMODEL	Resources/Sprites/Hornet.png
SPEED	100
SIZE	16
HB	(fighter,0,0,27)
PYLON	(fighter,w,50,20,-3,0,90,0,0,1,Resources/Sprites/Escort1-Pylon1.png)
PYLON	(fighter,w,50,20,3,0,90,0,0,1,Resources/Sprites/Escort1-Pylon1.png)
PYLON	(fighter,c,50,0,0,0,180,0,0,1,Resources/Sprites/Escort1-Pylon1.png)
PYLON	(fighter,e,50,-22,0,180,90,0,0,1,Resources/Sprites/Escort1-Pylon1.png)
DESCRIP	Hornet Fighter
END

SNAME	Bulwark
SMODEL	Resources/Sprites/Bulwark.png
SPEED	40
SIZE	64
HB	(starboardbow,23,-24,40)
HB	(starboardaft,-26,-40,43)
HB	(portbow,23,24,40)
HB	(portaft,-26,40,43)
HB	(battlestation,0,82,55)
PYLON	(starboardbow,ws,50,33,-18,0,90,0,0,3,Resources/Sprites/Escort1-Pylon1.png)
PYLON	(starboardbow,ws,50,10,-30,-45,90,0,0,2,Resources/Sprites/Escort1-Pylon1.png)
PYLON	(starboardaft,c,50,-32,-46,180,90,0,0,3,Resources/Sprites/Escort1-Pylon1.png)
PYLON	(starboardaft,e,50,-34,-6,180,90,0,0,3,Resources/Sprites/Escort1-Pylon1.png)
PYLON	(portbow,ws,50,33,18,0,90,0,0,3,Resources/Sprites/Escort1-Pylon1.png)
PYLON	(portbow,ws,50,10,30,45,90,0,0,2,Resources/Sprites/Escort1-Pylon1.png)
PYLON	(portaft,s,50,-32,46,180,90,0,0,3,Resources/Sprites/Escort1-Pylon1.png)
PYLON	(portaft,ws,50,-34,6,180,90,0,0,2,Resources/Sprites/Escort1-Pylon1.png)
PYLON	(battlestation,w,50,52,86,0,30,0,0,4,Resources/Sprites/Escort1-Pylon1.png)
PYLON	(battlestation,w,50,20,86,0,180,0,0,2,Resources/Sprites/Escort1-Pylon1.png)
PYLON	(battlestation,ws,50,-11,86,180,180,0,0,2,Resources/Sprites/Escort1-Pylon1.png)
PYLON	(battlestation,ws,50,-44,86,180,90,0,0,2,Resources/Sprites/Escort1-Pylon1.png)
DESCRIP	Bulwark Mobile Battlestation
END

#PYLONS	(Pylon clusters, Item types, Base Health, X offset, Y offset, Resting Angle, Arc Angle (times 2), Interface Location (0,0), Size 1-5, Location)
#HB	(Bow, Aft, Starboard (right), Port (left))
SNAME	Athwart
SMODEL	Resources/Sprites/Athwart.png
SPEED	50
SIZE	128
HB	(starboardbow,136,-42,72)
HB	(portbow,136,42,72)
HB	(center,0,0,72)
HB	(aft,-139,0,84)
PYLONS	(starboardbow,w,50,169,-24,270,30,0,0,2,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(starboardbow,w,50,149,-24,270,30,0,0,2,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(starboardbow,w,50,129,-24,270,30,0,0,2,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(starboardbow,w,50,109,-24,270,30,0,0,2,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(starboardbow,w,50,193,-10,0,30,0,0,4,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(portbow,w,50,169,24,90,30,0,0,2,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(portbow,w,50,149,24,90,30,0,0,2,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(portbow,w,50,129,24,90,30,0,0,2,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(portbow,w,50,109,24,90,30,0,0,2,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(portbow,w,50,193,10,0,90,0,0,4,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(center,s,50,-20,0,0,180,0,0,4,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(center,c,50,0,0,0,180,0,0,5,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(center,w,50,-30,0,180,0,0,3,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(aft,ws,50,-159,0,180,90,0,0,3,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(aft,e,50,-204,0,180,90,0,0,4,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(aft,w,50,-110,22,180,45,0,0,2,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(aft,w,50,-110,-22,180,45,0,0,2,Resources/Sprites/Escort1-Pylon1.png)
DESCRIP	Athwart Battleship
END

#add more guns as time allows
SNAME	Defense Platform
SMODEL	Resources/Sprites/StationaryTurret.png
SPEED	0
SIZE	256
HB	(center,0,0,212)
PYLONS	(center,w,50,0,0,0,180,0,0,5,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(center,s,50,0,0,0,180,0,0,5,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(center,w,50,50,50,0,180,0,0,3,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(center,w,50,50,-50,0,180,0,0,3,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(center,w,50,-50,-50,0,180,0,0,3,Resources/Sprites/Escort1-Pylon1.png)
PYLONS	(center,w,50,-50,50,0,180,0,0,3,Resources/Sprites/Escort1-Pylon1.png)
DESCRIP	A stationary defense platform
END

SNAME	Space Station
SMODEL	Resources/Sprites/SpaceStation.png
SPEED	0
SIZE	512
HB	(center,0,0,218)
DESCRIP	A space station, serving as a trading hub.
END

SNAME	Science Station
SMODEL	Resources/Sprites/ScienceStation.png
SPEED	0
SIZE	256
HB	(center,0,0,212)
DESCRIP	A science station for research and development purposes. Can be explored in some cases.
END
